source_id,year,title,authors,journal,doi,pmid,source_type,open_access,url,key_use,limitations
SRC018,2017,Divergent evolution of multiple virus-resistance genes from a progenitor in Capsicum spp.,Kim et al.,New Phytologist,10.1111/nph.14177,27612097,Primary gene cloning study,Yes,https://pubmed.ncbi.nlm.nih.gov/27612097/,Clones Pvr4 and Tsw as related NLR genes on chromosome 10 with distinct virus recognition.,Resistance remains isolate/pathotype dependent and can be overcome.
SRC019,2008,Development of a sequence characteristic amplified region marker linked to the L4 locus conferring broad spectrum resistance to tobamoviruses in pepper plants,Kim et al.,Molecules and Cells,,18414011,Primary linkage-marker study,Yes,https://pubmed.ncbi.nlm.nih.gov/18414011/,Provides linked marker evidence for L4-mediated tobamovirus resistance.,Marker is linked rather than necessarily causal; later pathotypes can overcome L4.
SRC020,2008,Two Amino Acid Substitutions in the Coat Protein of Pepper mild mottle virus Are Responsible for Overcoming the L4 Gene-Mediated Resistance in Capsicum spp.,Genda et al.,Phytopathology,,18943927,Primary pathogen escape study,Unknown,https://pubmed.ncbi.nlm.nih.gov/18943927/,"Demonstrates a PMMoV pathotype can overcome L4, proving pathotype-specific limits.",Specific viral isolates and experimental conditions.
SRC021,2016,Fine mapping of Restorer-of-fertility in pepper identified a candidate gene encoding a PPR-containing protein,Jo et al.,Theoretical and Applied Genetics,10.1007/s00122-016-2755-6,27470425,Primary fine mapping/candidate study,Unknown,https://pubmed.ncbi.nlm.nih.gov/27470425/,Fine maps Rf and identifies CaPPR6 as a strong candidate in a defined CMS/restorer system.,Candidate rather than universally proven causal allele; CMS systems differ among lines.
SRC022,2008,Linkage analysis between partial restoration and Restorer-of-fertility loci in pepper cytoplasmic male sterility,Lee et al.,Theoretical and Applied Genetics,10.1007/s00122-008-0782-7,18465115,Primary inheritance/linkage study,Unknown,https://pubmed.ncbi.nlm.nih.gov/18465115/,"Shows CMS restoration involves a major Rf locus, modifier effects, partial restoration, and temperature sensitivity.",Specific cytoplasm and breeding material; prevents a simplistic single-gene universal rule.
SRC023,2022,"Fine mapping of Rf2, a minor Restorer-of-fertility gene for cytoplasmic male sterility in chili pepper G164",Zhang et al.,Theoretical and Applied Genetics,10.1007/s00122-022-04143-7,35710637,Primary fine mapping/candidate study,Unknown,https://pubmed.ncbi.nlm.nih.gov/35710637/,Supports a second dominant restoration locus and identifies Capana06g000193 as a strong candidate.,Specific restorer line and CMS background; candidate status.
SRC024,2025,Fine mapping of the Chilli veinal mottle virus resistance 4 (cvr4) gene in pepper,Study authors as indexed by PubMed,Theoretical and Applied Genetics,,39777543,Primary fine mapping and gene-silencing study,Unknown,https://pubmed.ncbi.nlm.nih.gov/39777543/,Defines cvr4 as a single recessive ChiVMV resistance locus in a specified population and maps it to chromosome 11.,Gene identity and resistance breadth require additional validation.
SRC025,2026,Spicy genes: mapping quantitative genomic regions and candidate genes for capsaicinoid and capsinoid biosynthesis in pepper,Vergnano et al.,Frontiers in Plant Science,10.3389/fpls.2026.1823752,42375797,Systematic QTL integration/review,Yes,https://pubmed.ncbi.nlm.nih.gov/42375797/,Integrates 155 reported QTLs into 23 quantitative genomic regions on CM334 v1.6.,QTL synthesis is not a direct causal-allele catalog and is population/reference-build dependent.
SRC026,2023,Pepper Genomics Database and pan-genome/variome resource,Fei lab / Liu et al. resource,Database resource linked to Nature Communications 2023 work,,,Official genomic resource,Yes,https://ted.bti.cornell.edu/cgi-bin/pepper/index,"Reference genomes, annotations, pan-genome, and variants for 500 core Capsicum accessions.",Gene IDs and coordinates must be tied to explicit assembly versions.
SRC027,2020,Enabling reusability of plant phenomic datasets with MIAPPE 1.1,Papoutsoglou et al.,New Phytologist,,32171029,Community data standard publication,Yes,https://pubmed.ncbi.nlm.nih.gov/32171029/,Defines minimum metadata and a data model for reusable plant phenotyping experiments.,"A metadata standard, not a Capsicum genetic model."
SRC028,2015,FAO/Bioversity Multi-Crop Passport Descriptors V.2.1,"Alercia, Diulgheroff, and Mackay",FAO/Bioversity standard,,,Official germplasm passport standard,Yes,https://alliancebioversityciat.org/publications-data/faobioversity-multi-crop-passport-descriptors-v21-mcpd-v21-december-2015,International standard for accession passport and provenance data.,Does not cover detailed genetic assertions or experiments.
SRC029,1995,Descriptors for Capsicum (Capsicum spp.),IPGRI/AVRDC/CATIE,Crop descriptor publication,,,Official crop descriptor list,Yes,https://alliancebioversityciat.org/publications-data/descriptors-capsicum-capsicum-spp,Standardized Capsicum characterization and evaluation terminology.,Some terminology predates modern molecular genetics and should be mapped rather than copied blindly.
SRC030,2019,BrAPI—an application programming interface for plant breeding applications,Selby et al.,Bioinformatics,,,Community interoperability standard publication,Yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC6792114/,"Standard API concepts for germplasm, studies, observations, and marker data exchange.",Implement only needed endpoints; it does not define scientific validity.
