catalog_id,canonical_symbol,aliases,gene_or_candidate,trait_category,trait_scope,species_scope,chromosome,model_class,inheritance_summary,evidence_grade,evidence_status,genotype_prediction,phenotype_prediction,supported_claim,prohibited_claim,required_context,primary_sources,release_status,review_priority
LOC011,CaAPRR2 / PRR2,APRR2-like; c1-associated regulator in some studies,CaAPRR2 / PRR2,Fruit pigmentation,Plastid development and chlorophyll/carotenoid accumulation,C. annuum and comparative Solanaceae evidence,1 in one recent mapped region; assembly-specific verification required,Modifier interacting with CaGLK2 and other color genes,No universal simple dominance rule; joint effects reported.,B,Association/network evidence plus recent population-specific mapping,Exact allele segregation,Research/advisory only,"PRR2/APRR2 variation contributes to fruit pigmentation, often jointly with CaGLK2.",PRR2 is a universal red/yellow or green/yellow switch.,"Exact allele, GLK2, PSY1/CCS, stage, population.",SRC012; SRC013,Research only pending replication,P1
LOC012,CaAN3 / CaPs,CA10g11690; Dem.v1.00043895; purple stripe locus,CaAN3 R2R3-MYB allele,Anthocyanin,Purple stripe formation in immature fruit exocarp; associated floral pigmentation,C. annuum Chen12-4-derived mapping populations,10,Population-specific allele with tissue-pattern effects,Mapped as a major locus in the reported F2 populations.,B,"Fine mapping, co-segregating marker, overexpression and silencing support",Exact for documented allele,Only for validated stripe model/background,The documented CaAN3/CaPs allele contributes to purple stripe formation in the studied material.,"CaAN3 alone explains all purple, black, foliage, flower, or fruit pigmentation.","Exact structural variant/transcript, tissue, developmental stage, CaAN2 and other anthocyanin regulators.",SRC014,Advisory population model,P1
LOC013,Bs2,bacterial spot resistance gene 2,Bs2 NLR,Disease resistance,Recognition of Xanthomonas strains carrying avrBs2,Pepper gene; functional transfer also shown in tomato,Not normalized in this release,Dominant immune receptor–effector interaction,Resistance phenotype requires functional host Bs2 and matching pathogen avrBs2.,A,Cloned and functionally validated resistance gene,Exact allele segregation,Conditional on pathogen effector/pathotype,Functional Bs2 can confer resistance to strains carrying recognized avrBs2.,Bs2 confers universal bacterial spot resistance.,"Host allele, Xanthomonas species/strain, avrBs2 status, temperature/assay conditions.",SRC015,MVP eligible with pathogen-context requirement,P0
LOC014,Bs3 / Bs3-E,bacterial spot resistance gene 3 alleles,Flavin monooxygenase genes with effector-responsive promoters,Disease resistance,Recognition of AvrBs3-family effectors,C. annuum and Xanthomonas interaction systems,Not normalized in this release,Allele-specific promoter–effector interaction,Host resistance depends on exact promoter allele and matching bacterial effector.,A,Mechanistically validated gene–effector recognition,Exact allele segregation,Conditional on effector identity,Bs3 and Bs3-E recognize distinct AvrBs3-family effectors through promoter activation specificity.,AvrBs3 is a pepper resistance gene or Bs3 gives generic disease resistance.,"Host promoter allele, bacterial effector allele, strain/pathovar.",SRC016,MVP eligible with strict interaction model,P0
LOC015,pvr1,"eIF4E resistance alleles pvr1, pvr1-1, pvr1-2",eIF4E,Virus resistance,Recessive loss-of-susceptibility resistance to defined potyviruses/strains,C. annuum and C. chinense germplasm,3,Recessive multi-allelic susceptibility-factor model,Resistance generally requires homozygosity for a compatible resistance allele; spectrum differs by allele and virus.,A,Causal coding alleles and functional interaction evidence,Exact allele segregation,Conditional on virus species/strain,Named pvr1 coding alleles can confer recessive resistance to defined potyviruses by altering eIF4E–VPg compatibility.,Any pvr1 allele confers resistance to every potyvirus.,"Exact host allele, zygosity, virus species and strain, alternate eIF4E isoforms.",SRC017,MVP eligible with virus-spectrum tables,P0
LOC016,Pvr4,potyvirus resistance 4,Pvr4 NLR,Virus resistance,Resistance to defined PVY/PepMoV pathotypes/isolates,C. annuum,10,Dominant NLR resistance gene; isolate-specific,Dominant resistance in validated host–virus combinations.,A,Cloned gene with genetic and functional evidence,Exact allele segregation,Conditional on virus isolate/pathotype,Functional Pvr4 can recognize defined potyvirus effectors and confer resistance in validated combinations.,Pvr4 is universal or permanently durable against all potyvirus evolution.,"Host allele, virus isolate/pathotype, environmental assay conditions.",SRC018,MVP eligible with isolate context,P0
LOC017,Tsw,Tomato spotted wilt virus resistance gene,Tsw NLR,Virus resistance,Resistance to defined TSWV isolates,Originally characterized/cloned from C. chinense,10,Dominant NLR resistance gene; isolate-specific,"Dominant in validated genetic backgrounds, subject to resistance-breaking isolates.",A,Cloned gene with genetic evidence,Exact allele segregation,Conditional on TSWV isolate,Functional Tsw can confer resistance to recognized TSWV isolates.,Tsw guarantees resistance to all TSWV isolates.,"Exact host allele, virus isolate, temperature and assay conditions.",SRC018,MVP eligible with isolate context,P0
LOC018,L locus series,L1; L1a; L2; L3; L4,Tobamovirus resistance alleles/locus series,Virus resistance,Pathotype-specific resistance to tobamoviruses,Multiple Capsicum species and introgressions,Not normalized in this release,Allelic resistance series with pathotype hierarchy,Dominant resistance responses are allele/pathotype/temperature dependent.,B,Strong classical genetics and linked-marker/pathogen evidence; causal normalization incomplete here,Exact allele segregation if allele identity is known,Conditional pathotype table only,L alleles provide differential resistance spectra to tobamovirus pathotypes; L4 can be overcome by evolved PMMoV.,L4 is universally broad-spectrum or resistance cannot break.,"Exact L allele, virus species/pathotype, coat protein genotype, temperature.",SRC019; SRC020,Advisory until causal allele/marker normalization is complete,P0
LOC019,CMS cytoplasm,cytoplasmic male sterility; sterile cytoplasm,Mitochondrial CMS determinants vary by system,Fertility,Maternally inherited male sterility in defined CMS systems,Primarily C. annuum breeding systems,Mitochondrial genome,Cytoplasmic inheritance modified by nuclear restorer loci and environment,"Sterile cytoplasm is maternally inherited; phenotype depends on nuclear Rf genes, modifiers, and temperature.",B,Well-established biological system; molecular determinant varies among lines,Maternal transmission exact at cytoplasm-state level,Conditional on specific CMS/Rf system,CMS status follows maternal cytoplasm and can be restored by compatible nuclear genes.,All pepper CMS systems share one universal mitochondrial allele or one universal Rf rule.,"Named CMS line/cytoplasm, maternal parent, Rf/Rf2/pr status, temperature.",SRC021; SRC022; SRC023,Advisory system-specific models only,P0
LOC020,Rf / CaPPR6 candidate,Restorer-of-fertility; CaRf,CaPPR6 and related PPR candidates in specific systems,Fertility,Nuclear restoration of fertility in compatible CMS cytoplasm,C. annuum CMS/restorer populations,6,Dominant nuclear restorer in specific CMS systems,"A major dominant locus often restores fertility, but modifiers, alternate Rf loci, and temperature matter.",B,Fine-mapped strong candidate; not a universal proven single allele,Exact locus segregation where marker/haplotype is validated,System-specific advisory only,CaPPR6-region haplotypes are strongly associated with restoration in defined populations.,CaPPR6 genotype universally predicts fertility across all CMS lines.,"CMS cytoplasm, restorer source, marker validity, temperature, modifier loci.",SRC021; SRC022,Advisory,P1
LOC021,Rf2,minor restorer-of-fertility locus,Capana06g000193 strong candidate,Fertility,Additional fertility restoration in G164-derived material,C. annuum G164 and 77013A-derived populations,6,Dominant minor restorer in a two-locus system,Reported as a second dominant restorer locus; 15:1 segregation supported two dominant genes in source material.,B,Fine-mapped strong candidate,Exact in validated cross/model,Population-specific only,Rf2 contributes to fertility restoration in the reported G164 CMS system.,Rf2 is required or sufficient in every pepper CMS system.,"Exact CMS cytoplasm, Rf1 state, G164-derived haplotype, environment.",SRC023,Research/advisory,P2
LOC022,cvr4,Chilli veinal mottle virus resistance 4,Fine-mapped recessive locus; causal gene not finalized in this release,Virus resistance,Resistance to ChiVMV in CV9-derived population,C. annuum CV9 × Jeju population,11,Single recessive resistance locus in source population,Reported 1 resistant:3 susceptible segregation in F2:3 families.,B,Fine-mapped with gene-silencing support; causal normalization incomplete,Exact locus segregation in validated population,Population/isolate-specific advisory,A recessive cvr4 locus confers ChiVMV resistance in the reported CV9 material.,cvr4 confers resistance to all ChiVMV isolates or other potyviruses.,"Causal allele/marker, virus isolate, genetic background.",SRC024,Research/advisory,P2
