claim_id,catalog_id,claim_text,claim_type,evidence_grade,applicability,required_conditions,exclusions,source_ids,review_status
CLM-011,LOC011,"PRR2/APRR2 variation contributes to fruit pigmentation, often jointly with CaGLK2.",Advisory/research,B,C. annuum and comparative Solanaceae evidence,"Exact allele, GLK2, PSY1/CCS, stage, population.",PRR2 is a universal red/yellow or green/yellow switch.,SRC012; SRC013,Curated seed record; independent domain review required before production release
CLM-012,LOC012,The documented CaAN3/CaPs allele contributes to purple stripe formation in the studied material.,Advisory/research,B,C. annuum Chen12-4-derived mapping populations,"Exact structural variant/transcript, tissue, developmental stage, CaAN2 and other anthocyanin regulators.","CaAN3 alone explains all purple, black, foliage, flower, or fruit pigmentation.",SRC014,Curated seed record; independent domain review required before production release
CLM-013,LOC013,Functional Bs2 can confer resistance to strains carrying recognized avrBs2.,Production-supported,A,Pepper gene; functional transfer also shown in tomato,"Host allele, Xanthomonas species/strain, avrBs2 status, temperature/assay conditions.",Bs2 confers universal bacterial spot resistance.,SRC015,Curated seed record; independent domain review required before production release
CLM-014,LOC014,Bs3 and Bs3-E recognize distinct AvrBs3-family effectors through promoter activation specificity.,Production-supported,A,C. annuum and Xanthomonas interaction systems,"Host promoter allele, bacterial effector allele, strain/pathovar.",AvrBs3 is a pepper resistance gene or Bs3 gives generic disease resistance.,SRC016,Curated seed record; independent domain review required before production release
CLM-015,LOC015,Named pvr1 coding alleles can confer recessive resistance to defined potyviruses by altering eIF4E–VPg compatibility.,Production-supported,A,C. annuum and C. chinense germplasm,"Exact host allele, zygosity, virus species and strain, alternate eIF4E isoforms.",Any pvr1 allele confers resistance to every potyvirus.,SRC017,Curated seed record; independent domain review required before production release
CLM-016,LOC016,Functional Pvr4 can recognize defined potyvirus effectors and confer resistance in validated combinations.,Production-supported,A,C. annuum,"Host allele, virus isolate/pathotype, environmental assay conditions.",Pvr4 is universal or permanently durable against all potyvirus evolution.,SRC018,Curated seed record; independent domain review required before production release
CLM-017,LOC017,Functional Tsw can confer resistance to recognized TSWV isolates.,Production-supported,A,Originally characterized/cloned from C. chinense,"Exact host allele, virus isolate, temperature and assay conditions.",Tsw guarantees resistance to all TSWV isolates.,SRC018,Curated seed record; independent domain review required before production release
CLM-018,LOC018,L alleles provide differential resistance spectra to tobamovirus pathotypes; L4 can be overcome by evolved PMMoV.,Advisory/research,B,Multiple Capsicum species and introgressions,"Exact L allele, virus species/pathotype, coat protein genotype, temperature.",L4 is universally broad-spectrum or resistance cannot break.,SRC019; SRC020,Curated seed record; independent domain review required before production release
CLM-019,LOC019,CMS status follows maternal cytoplasm and can be restored by compatible nuclear genes.,Advisory/research,B,Primarily C. annuum breeding systems,"Named CMS line/cytoplasm, maternal parent, Rf/Rf2/pr status, temperature.",All pepper CMS systems share one universal mitochondrial allele or one universal Rf rule.,SRC021; SRC022; SRC023,Curated seed record; independent domain review required before production release
CLM-020,LOC020,CaPPR6-region haplotypes are strongly associated with restoration in defined populations.,Advisory/research,B,C. annuum CMS/restorer populations,"CMS cytoplasm, restorer source, marker validity, temperature, modifier loci.",CaPPR6 genotype universally predicts fertility across all CMS lines.,SRC021; SRC022,Curated seed record; independent domain review required before production release
CLM-021,LOC021,Rf2 contributes to fertility restoration in the reported G164 CMS system.,Advisory/research,B,C. annuum G164 and 77013A-derived populations,"Exact CMS cytoplasm, Rf1 state, G164-derived haplotype, environment.",Rf2 is required or sufficient in every pepper CMS system.,SRC023,Curated seed record; independent domain review required before production release
CLM-022,LOC022,A recessive cvr4 locus confers ChiVMV resistance in the reported CV9 material.,Advisory/research,B,C. annuum CV9 × Jeju population,"Causal allele/marker, virus isolate, genetic background.",cvr4 confers resistance to all ChiVMV isolates or other potyviruses.,SRC024,Curated seed record; independent domain review required before production release
